
***************************************
Calculating total value of all items...
***************************************

Total value: $8,717,398.45

***************************************
Calculating total value by bot...
***************************************

76561198583274760: $115,740.88 (517)
76561198399002309: $711.22 (430)
76561198583282358: $710.66 (443)
76561198401220389: $710.44 (491)
76561198376545963: $709.76 (327)
76561198410802160: $708.21 (165)
76561198410663374: $708.09 (146)
76561198589465689: $707.32 (332)
76561198310203900: $707.15 (541)
76561198376336310: $707.05 (505)
76561198376936858: $706.36 (492)
76561198376581224: $705.73 (495)
76561198303710333: $704.74 (594)
76561198410728731: $704.49 (72)
76561198306403264: $703.18 (473)
76561198401885108: $701.89 (180)
76561198398411781: $699.02 (363)
76561198300766513: $698.74 (584)
76561198399846705: $698.25 (441)
76561198399069062: $698.18 (429)
76561198589498570: $695.64 (415)
76561198401811061: $695.37 (122)
76561198306743831: $695.14 (667)
76561198584072943: $693.63 (547)
76561198413230765: $691.69 (76)
76561198401185402: $691.31 (350)
76561198301526151: $684.41 (617)
76561198583775180: $684.38 (503)
76561198589493330: $683.47 (424)
76561198402221382: $683.05 (154)
76561198401911017: $682.44 (231)
76561198401862894: $680.46 (297)
76561198398351279: $679.95 (72)
76561198401123076: $678.74 (238)
76561198305668051: $675.60 (468)
76561198583809371: $675.43 (445)
76561198376659144: $675.11 (595)
76561198398498640: $674.40 (240)
76561198303860570: $672.97 (577)
76561198400787097: $672.40 (514)
76561198401255933: $670.13 (252)
76561198399265140: $669.26 (360)
76561198306508711: $668.80 (495)
76561198401285130: $667.97 (230)
76561198411341024: $667.18 (352)
76561198312653915: $665.31 (518)
76561198583776752: $664.11 (423)
76561198583244499: $663.50 (725)
76561198589491627: $662.88 (346)
76561198403014771: $658.61 (173)
76561198583801773: $658.27 (499)
76561198412936308: $657.49 (157)
76561198583288122: $653.93 (442)
76561198402557785: $653.91 (213)
76561198398581077: $653.86 (497)
76561198308417199: $653.64 (536)
76561198399070896: $653.28 (496)
76561198401524194: $648.64 (371)
76561198398513876: $648.58 (323)
76561198377174159: $646.88 (515)
76561198304999562: $644.91 (563)
76561198583771119: $644.44 (565)
76561198583281179: $643.81 (402)
76561198398456708: $643.79 (510)
76561198305634394: $643.70 (592)
76561198311092531: $642.28 (750)
76561198401846337: $640.09 (290)
76561198398423694: $639.77 (291)
76561198376252082: $638.87 (344)
76561198401711930: $638.72 (202)
76561198378580003: $637.35 (572)
76561198304257391: $635.43 (612)
76561198376866107: $632.24 (367)
76561198376530524: $631.20 (300)
76561198399243590: $630.33 (375)
76561198401786625: $629.55 (114)
76561198398901991: $628.41 (206)
76561198740479738: $626.30 (103)
76561198306245298: $623.02 (418)
76561198379209858: $622.66 (316)
76561198307627622: $620.80 (514)
76561198376795977: $620.69 (595)
76561198306660522: $616.70 (561)
76561198401390057: $615.80 (334)
76561198583303580: $614.94 (409)
76561198583815266: $613.34 (414)
76561198305576762: $613.32 (597)
76561198401121324: $612.23 (303)
76561198399166592: $611.74 (186)
76561198411063961: $611.71 (238)
76561198411369482: $601.61 (111)
76561198401286667: $600.18 (237)
76561198401238224: $599.64 (168)
76561198307212329: $598.42 (569)
76561197973578969: $596.98 (99)
76561198306381243: $596.65 (582)
76561198401131265: $595.79 (109)
76561198411388253: $592.59 (247)
76561198398559234: $592.42 (145)
76561198376472941: $592.37 (358)
76561198398479784: $591.67 (219)
76561198398837777: $590.98 (143)
76561198401905188: $588.23 (333)
76561198403545121: $586.32 (327)
76561198306617702: $586.23 (531)
76561198399729330: $585.96 (150)
76561198401881023: $584.98 (185)
76561198401787088: $584.26 (271)
76561198308971281: $582.27 (484)
76561198584095606: $581.43 (296)
76561198401701331: $581.26 (163)
76561198307797886: $580.09 (485)
76561198236034974: $579.50 (204)
76561198399122156: $579.31 (239)
76561198401875000: $579.25 (231)
76561198401398609: $579.10 (307)
76561198403726720: $577.02 (245)
76561198410736904: $575.41 (416)
76561198401796057: $574.93 (219)
76561198584069537: $574.62 (436)
76561198376633984: $572.20 (381)
76561198401084240: $569.95 (212)
76561198377315833: $567.57 (344)
76561198413144670: $566.88 (181)
76561198589506037: $566.86 (583)
76561198411445663: $565.91 (436)
76561198300548581: $565.16 (612)
76561198377198892: $564.76 (412)
76561198306693646: $562.16 (652)
76561198399906969: $561.48 (254)
76561198401014885: $561.08 (211)
76561198401351072: $560.63 (224)
76561198307411997: $559.55 (439)
76561198411291859: $558.01 (90)
76561198402616826: $556.88 (239)
76561198583213714: $556.23 (446)
76561198377213002: $554.95 (335)
76561198402366428: $554.79 (363)
76561198308236603: $552.83 (612)
76561198401181115: $551.27 (182)
76561198410606722: $549.50 (148)
76561198583810419: $547.68 (431)
76561198401952524: $547.59 (133)
76561198584098095: $543.92 (700)
76561198305919766: $543.27 (580)
76561198401737720: $542.44 (264)
76561198398372218: $537.29 (408)
76561198306445243: $535.81 (589)
76561198401141767: $529.95 (171)
76561198398694376: $527.39 (149)
76561198401509564: $524.29 (167)
76561198402713484: $524.04 (394)
76561198401300658: $523.92 (267)
76561198306613227: $521.46 (503)
76561198398640535: $520.55 (369)
76561198411317636: $520.29 (192)
76561198402584998: $517.36 (215)
76561198401159238: $514.75 (293)
76561198402625341: $510.36 (332)
76561198398564051: $509.83 (358)
76561198398641751: $508.38 (311)
76561198401543975: $507.70 (114)
76561198399746556: $505.95 (382)
76561198398981349: $505.92 (397)
76561198583774132: $503.86 (371)
76561198402200985: $498.18 (287)
76561198399851924: $497.92 (446)
76561198376498750: $494.11 (520)
76561198399865835: $494.06 (513)
76561198411276092: $493.83 (436)
76561198399159994: $493.34 (8)
76561198306536341: $492.75 (499)
76561198399181309: $492.75 (227)
76561198401806971: $491.73 (222)
76561198583241617: $490.15 (377)
76561198401108022: $488.36 (394)
76561198402171903: $487.96 (291)
76561198401940210: $486.54 (204)
76561198398447752: $483.59 (162)
76561198377697538: $482.55 (300)
76561198411559431: $480.28 (204)
76561198400698043: $477.59 (214)
76561198311383496: $477.45 (556)
76561198377848902: $476.58 (384)
76561198401869961: $472.32 (159)
76561198401884532: $471.18 (344)
76561198583807799: $470.44 (599)
76561198589489924: $468.60 (477)
76561198401184934: $467.58 (249)
76561198401959548: $466.82 (98)
76561198410874084: $465.16 (66)
76561198398977466: $464.74 (203)
76561198399160483: $464.36 (504)
76561198399855608: $463.83 (421)
76561198411310226: $460.80 (249)
76561198411062651: $459.56 (117)
76561198376854447: $458.71 (396)
76561198410927811: $458.34 (271)
76561198399573878: $457.25 (211)
76561198398664418: $457.05 (331)
76561198307213128: $456.34 (434)
76561198399902244: $456.26 (370)
76561198399163821: $455.38 (281)
76561198398702012: $454.85 (266)
76561198401319653: $453.92 (269)
76561198399115082: $446.29 (390)
76561198402575959: $444.82 (144)
76561198399092917: $444.20 (241)
76561198399125785: $443.37 (366)
76561198410796831: $439.69 (72)
76561198401316768: $435.38 (161)
76561198307596756: $435.00 (621)
76561198401097828: $429.82 (337)
76561198398659702: $429.56 (298)
76561198376434088: $428.78 (393)
76561198399881060: $427.26 (252)
76561198401906044: $425.84 (332)
76561198378107815: $425.02 (312)
76561198399115323: $423.59 (347)
76561198401404559: $421.32 (182)
76561198307787539: $420.35 (494)
76561198398379745: $419.20 (462)
76561198398690094: $415.25 (596)
76561198398589854: $414.34 (407)
76561198412941024: $409.24 (81)
76561198401026024: $407.62 (348)
76561198403658988: $407.42 (303)
76561198401268100: $406.09 (193)
76561198401128667: $406.03 (135)
76561198583217251: $404.67 (436)
76561198399794371: $402.61 (306)
76561198398571417: $401.66 (208)
76561198402204090: $401.41 (178)
76561198399174631: $399.21 (306)
76561198411828136: $398.71 (188)
76561198402564335: $398.02 (290)
76561198402591936: $394.96 (471)
76561198398495746: $394.39 (553)
76561198401011221: $393.18 (417)
76561198401128982: $392.81 (242)
76561198398462585: $392.60 (385)
76561198400955373: $391.51 (337)
76561198305795794: $388.26 (500)
76561198402801970: $384.61 (174)
76561198401129977: $384.48 (312)
76561198401065769: $382.24 (159)
76561198401150806: $381.38 (79)
76561198401082820: $380.17 (122)
76561198583224456: $374.81 (326)
76561198402808258: $374.77 (60)
76561198377299557: $372.18 (439)
76561198402113244: $372.04 (251)
76561198584075432: $369.86 (445)
76561198410684571: $367.12 (129)
76561198399013150: $366.13 (385)
76561198402586827: $361.74 (272)
76561198410789479: $361.45 (402)
76561198743180565: $360.40 (242)
76561198410748300: $360.33 (278)
76561198399214755: $359.00 (257)
76561198400948823: $358.29 (217)
76561198402578088: $355.61 (400)
76561198401900300: $354.66 (285)
76561198401752741: $354.30 (312)
76561198411313980: $349.65 (280)
76561198311205803: $345.49 (362)
76561198400977119: $343.63 (138)
76561198401836007: $342.87 (195)
76561198402312730: $340.48 (547)
76561198401846835: $340.46 (153)
76561198401854847: $339.73 (214)
76561198401328165: $339.52 (233)
76561198401924730: $339.44 (291)
76561198398828387: $339.15 (294)
76561198398611469: $338.71 (220)
76561198398601935: $335.29 (369)
76561198583763259: $334.98 (624)
76561198399151610: $333.15 (555)
76561198401061379: $332.20 (340)
76561198401632312: $331.50 (400)
76561198410545238: $327.63 (122)
76561198410792990: $325.97 (127)
76561198411154562: $323.75 (281)
76561198401350417: $323.14 (163)
76561198410656562: $322.74 (112)
76561198401323321: $320.19 (351)
76561198402502272: $319.25 (264)
76561198403699079: $317.29 (222)
76561198401198165: $316.45 (180)
76561198402578932: $311.81 (108)
76561198401203307: $311.54 (141)
76561198401018244: $307.93 (243)
76561198401619334: $307.69 (288)
76561198411148590: $305.75 (82)
76561198402393807: $305.02 (286)
76561198399258062: $304.13 (346)
76561198401602687: $302.10 (89)
76561198410654997: $301.36 (98)
76561198412879602: $301.18 (253)
76561198401318867: $299.42 (97)
76561198400811937: $297.58 (434)
76561198402613429: $296.78 (205)
76561198398539683: $295.80 (498)
76561198401579369: $293.74 (226)
76561198401897005: $293.67 (212)
76561198398568182: $292.48 (452)
76561198400807271: $291.81 (128)
76561198402322948: $289.33 (355)
76561198401055318: $289.11 (242)
76561198411708625: $288.11 (114)
76561198306071662: $286.28 (398)
76561198401201440: $285.93 (267)
76561198399262651: $285.82 (139)
76561198401957386: $285.51 (223)
76561198411278188: $285.09 (61)
76561198399877097: $284.41 (252)
76561198401986213: $280.67 (143)
76561198411042434: $280.05 (339)
76561198401706964: $279.91 (138)
76561198411048556: $277.23 (148)
76561198743152531: $275.90 (225)
76561198401219341: $275.86 (100)
76561198399137031: $275.36 (310)
76561198399854363: $270.08 (172)
76561198398362875: $268.30 (114)
76561198410848654: $267.40 (62)
76561198399733522: $263.40 (186)
76561198401904159: $259.75 (178)
76561198399059598: $259.19 (264)
76561198401113331: $256.80 (127)
76561198401874240: $256.71 (271)
76561198412879864: $255.36 (200)
76561198410627357: $254.46 (189)
76561198583244892: $252.93 (587)
76561198401877879: $247.98 (190)
76561198398963493: $246.30 (105)
76561198401131078: $244.57 (226)
76561198412677958: $244.02 (139)
76561198401755885: $243.82 (210)
76561198743139169: $241.12 (367)
76561198752680423: $240.98 (151)
76561198410687457: $239.82 (385)
76561198400361497: $237.00 (240)
76561198401182294: $236.52 (507)
76561198398810760: $236.17 (389)
76561198401166574: $235.81 (361)
76561198399506577: $229.68 (193)
76561198398721269: $224.59 (376)
76561198402413782: $219.92 (45)
76561198411944294: $219.24 (202)
76561198399990125: $217.41 (199)
76561198412139254: $212.80 (212)
76561198589479182: $212.61 (475)
76561198410540844: $209.74 (119)
76561198401318994: $209.09 (270)
76561198398596684: $208.87 (326)
76561198399154200: $206.12 (422)
76561198401252300: $204.47 (191)
76561198402501093: $201.57 (149)
76561198401691175: $198.92 (168)
76561198402421037: $195.49 (211)
76561198411418478: $193.13 (144)
76561198401756249: $189.79 (158)
76561198402206186: $185.82 (196)
76561198410805828: $185.48 (224)
76561198402412603: $183.95 (98)
76561198400690314: $180.81 (222)
76561198410702070: $180.35 (99)
76561198411628760: $178.73 (352)
76561198401186224: $175.51 (155)
76561198402404531: $174.58 (209)
76561198401124397: $171.64 (309)
76561198410687213: $168.69 (224)
76561198401202814: $165.73 (195)
76561198411958311: $165.48 (152)
76561198411884603: $163.53 (213)
76561198411392912: $162.99 (118)
76561198411505252: $162.82 (176)
76561198410708331: $161.81 (219)
76561198413133404: $161.81 (85)
76561198403305974: $161.60 (211)
76561198401975419: $160.42 (326)
76561198401808927: $159.38 (266)
76561198410814968: $158.63 (258)
76561198402299988: $156.72 (269)
76561198410817292: $154.78 (306)
76561198413297973: $154.27 (91)
76561198402624695: $152.53 (201)
76561198403725672: $151.42 (111)
76561198413045012: $149.59 (247)
76561198401100112: $136.87 (185)
76561198398365923: $134.74 (436)
76561198410746122: $133.87 (109)
76561198411956676: $130.75 (116)
76561198401786273: $130.16 (140)
76561198398356650: $124.23 (275)
76561198399139241: $122.82 (82)
76561198401279104: $121.54 (381)
76561198410634320: $118.18 (194)
76561198410686373: $115.29 (148)
76561198411277103: $115.09 (74)
76561198411554715: $113.20 (206)
76561198411336220: $111.14 (199)
76561198413289720: $109.76 (302)
76561198400784767: $108.50 (31)
76561198401138026: $106.12 (248)
76561198401934293: $104.90 (275)
76561198414375237: $103.50 (88)
76561198410741144: $100.41 (200)
76561198410883745: $93.35 (188)
76561198411535910: $77.46 (102)
76561198411422718: $65.32 (93)
76561198401435592: $55.64 (523)
76561198398122584: $55.41 (211)
76561198401415733: $48.52 (135)
76561198398589395: $44.80 (14)
76561198398900812: $36.77 (203)
76561198401830790: $21.32 (107)
76561198400335559: $0.00 (4)

***************************************
Calculating total value by category...
***************************************

Knife: $2,713,565.90 (6,603)
Rifle: $1,618,280.31 (177,264)
Sticker: $1,273,706.57 (71,095)
Container: $1,058,048.13 (133,337)
Pistol: $746,676.08 (253,308)
Sniper Rifle: $739,647.69 (154,275)
Shotgun: $175,531.05 (130,989)
SMG: $164,913.68 (180,323)
Gloves: $158,339.62 (300)
Machinegun: $23,288.09 (23,000)
Pass: $17,763.37 (869)
Graffiti: $14,579.37 (340,209)
Gift: $4,504.25 (820)
Collectible: $4,165.82 (691)
Music Kit: $3,375.44 (1,175)
Tag: $535.99 (403)
Tool: $477.09 (837)
Key: $0.00 (23,587)

***************************************
Calculating total value by weapon...
***************************************

null: $2,535,495.65 (573,323)
AK-47: $793,003.85 (21,551)
AWP: $670,290.35 (22,976)
Karambit: $638,766.41 (667)
M9 Bayonet: $570,230.17 (734)
Butterfly Knife: $553,242.25 (573)
M4A1-S: $457,592.36 (21,177)
Bayonet: $272,920.36 (845)
M4A4: $245,671.07 (9,713)
Flip Knife: $192,609.37 (791)
Desert Eagle: $190,585.95 (15,915)
Gut Knife: $150,497.43 (965)
USP-S: $145,404.10 (14,602)
Nova: $111,598.24 (59,409)
Huntsman Knife: $105,275.50 (578)
Falchion Knife: $90,716.80 (577)
Glock-18: $84,675.56 (19,339)
Tec-9: $84,239.09 (61,314)
P250: $82,316.71 (42,260)
Shadow Daggers: $76,223.23 (529)
Bowie Knife: $63,084.38 (344)
Five-SeveN: $62,152.84 (33,105)
Galil AR: $44,496.60 (37,284)
P90: $41,437.26 (21,322)
SSG 08: $38,589.79 (25,685)
CZ75-Auto: $35,391.75 (5,607)
P2000: $35,259.37 (9,417)
AUG: $34,326.66 (23,814)
MP7: $27,971.32 (44,112)
MAG-7: $26,228.64 (8,289)
UMP-45: $26,163.29 (33,600)
MAC-10: $24,982.81 (9,580)
MP9: $24,747.41 (22,761)
SG 553: $23,389.52 (41,847)
Dual Berettas: $23,332.17 (41,825)
XM1014: $20,880.90 (30,605)
FAMAS: $19,800.25 (21,878)
PP-Bizon: $19,611.59 (48,948)
SCAR-20: $18,759.10 (48,567)
M249: $17,935.42 (6,189)
Sawed-Off: $16,823.27 (32,686)
G3SG1: $12,008.45 (57,047)
Negev: $5,352.67 (16,811)
R8 Revolver: $3,318.54 (9,924)

***************************************
Calculating total value by market_hash_name...
***************************************

Sticker | Titan | Katowice 2015: $124,944.00 (1,600)
AK-47 | Redline (Field-Tested): $69,593.26 (2,309)
Operation Phoenix Weapon Case: $66,740.04 (24,903)
Operation Breakout Weapon Case: $58,700.00 (10,000)
Sticker | Flipsid3 Tactics | DreamHack 2014: $33,664.52 (412)
Sticker | Planetkey Dynamics | DreamHack 2014: $28,411.30 (290)
M4A1-S | Atomic Alloy (Minimal Wear): $22,473.00 (450)
AWP | Asiimov (Battle-Scarred): $22,278.40 (295)
Glove Case: $20,342.88 (3,324)
Gamma 2 Case: $20,141.10 (9,591)
eSports 2013 Winter Case: $19,158.19 (2,311)
MLG Columbus 2016 Challengers (Holo-Foil): $18,687.24 (484)
ESL One Cologne 2014 Challengers: $17,233.92 (256)
AWP | Redline (Field-Tested): $17,081.87 (377)
Chroma 2 Case: $15,877.73 (7,597)
ESL One Cologne 2014 Legends: $15,711.50 (175)
Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule: $15,549.00 (876)
Chroma 3 Case: $14,728.80 (7,752)
AWP | Man-o'-war (Minimal Wear): $14,582.65 (445)
AWP | Asiimov (Well-Worn): $14,543.89 (149)
AWP | Redline (Minimal Wear): $14,421.68 (196)
USP-S | Orion (Minimal Wear): $14,014.08 (288)
Five-SeveN | Nitro (Minimal Wear): $13,371.03 (423)
Chroma Case: $12,968.96 (5,066)
Revolver Case: $12,715.66 (8,534)
AWP | Sun in Leo (Minimal Wear): $11,332.17 (513)
USP-S | Orion (Factory New): $11,196.86 (202)
AWP | Sun in Leo (Factory New): $11,012.40 (322)
Falchion Case: $10,972.63 (15,031)
Gamma Case: $10,862.15 (4,915)
eSports 2014 Summer Case: $10,771.20 (1,320)
Operation Hydra Access Pass: $10,531.08 (756)
M4A1-S | Golden Coil (Field-Tested): $10,521.28 (176)
M4A1-S | Cyrex (Factory New): $10,397.19 (237)
Tec-9 | Hades (Field-Tested): $10,290.28 (364)
M4A1-S | Atomic Alloy (Field-Tested): $10,254.30 (257)
Krakow 2017 Challengers Autograph Capsule: $10,120.88 (341)
Desert Eagle | Cobalt Disruption (Factory New): $9,396.86 (121)
StatTrak™ AK-47 | Redline (Field-Tested): $9,043.37 (161)
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016: $8,951.04 (216)
M4A1-S | Cyrex (Minimal Wear): $8,623.09 (329)
M4A1-S | Hyper Beast (Field-Tested): $8,602.32 (438)
Operation Wildfire Case: $8,572.56 (4,659)
CS:GO Weapon Case: $8,399.70 (122)
CS:GO Weapon Case 3: $8,167.81 (1,477)
P250 | Mint Kimono (Well-Worn): $7,950.74 (2,318)
Tec-9 | Bamboo Forest (Battle-Scarred): $7,920.96 (2,676)
M249 | Shipping Forecast (Factory New): $7,838.40 (368)
Boston 2018 Attending Legends Autograph Capsule: $7,736.56 (692)
AK-47 | Jaguar (Field-Tested): $7,642.88 (128)
AWP | Sun in Leo (Field-Tested): $7,628.40 (390)
M4A1-S | Decimator (Field-Tested): $7,429.00 (782)
Desert Eagle | Midnight Storm (Minimal Wear): $7,407.16 (281)
Boston 2018 Returning Challengers Autograph Capsule: $7,336.00 (655)
AK-47 | Aquamarine Revenge (Field-Tested): $7,091.05 (185)
M4A1-S | Hyper Beast (Minimal Wear): $7,012.94 (127)
AK-47 | Frontside Misty (Field-Tested): $6,992.46 (621)
AK-47 | Aquamarine Revenge (Minimal Wear): $6,990.72 (96)
AK-47 | Red Laminate (Field-Tested): $6,918.24 (168)
Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015: $6,872.58 (286)
M4A1-S | Guardian (Minimal Wear): $6,812.48 (349)
Desert Eagle | Midnight Storm (Field-Tested): $6,664.01 (257)
AWP | Electric Hive (Minimal Wear): $6,650.22 (183)
USP-S | Caiman (Minimal Wear): $6,626.69 (137)
M4A1-S | Cyrex (Field-Tested): $6,565.86 (378)
AWP | Electric Hive (Factory New): $6,540.66 (126)
eSports 2013 Case: $6,528.60 (156)
M4A1-S | Golden Coil (Minimal Wear): $6,525.61 (71)
Boston 2018 Minor Challengers with Flash Gaming (Holo-Foil): $6,464.64 (208)
AWP | Hyper Beast (Minimal Wear): $6,326.40 (120)
AWP | Sun in Leo (Battle-Scarred): $6,210.03 (317)
Huntsman Weapon Case: $6,184.69 (817)
AWP | Hyper Beast (Field-Tested): $6,083.04 (232)
Operation Vanguard Weapon Case: $6,042.14 (2,734)
AK-47 | Frontside Misty (Minimal Wear): $5,804.28 (207)
AWP | Electric Hive (Field-Tested): $5,776.56 (213)
Operation Bravo Case: $5,776.08 (164)
Cologne 2016 Legends (Holo-Foil): $5,775.70 (223)
AK-47 | Orbit Mk01 (Minimal Wear): $5,728.50 (335)
Shadow Case: $5,720.28 (7,836)
AWP | BOOM (Field-Tested): $5,643.00 (60)
Sticker Capsule 2: $5,584.86 (426)
Cologne 2016 Challengers (Holo-Foil): $5,470.08 (168)
CS:GO Weapon Case 2: $5,406.38 (511)
Krakow 2017 Legends Autograph Capsule: $5,325.88 (161)
Sticker | Titan | Cologne 2015: $5,319.91 (131)
USP-S | Royal Blue (Field-Tested): $5,242.38 (338)
AK-47 | Orbit Mk01 (Field-Tested): $5,220.04 (412)
SSG 08 | Blood in the Water (Minimal Wear): $5,217.59 (133)
Desert Eagle | Hypnotic (Factory New): $5,160.00 (60)
Operation Hydra Case: $5,136.56 (286)
Sticker | kNgV- (Foil) | Krakow 2017: $5,014.40 (320)
Sticker | PGL | Krakow 2017: $5,000.58 (234)
StatTrak™ M4A1-S | Atomic Alloy (Field-Tested): $4,954.88 (98)
M4A1-S | Guardian (Factory New): $4,922.88 (192)
Sticker | Luminosity Gaming (Holo) | MLG Columbus 2016: $4,868.64 (69)
M4A1-S | Atomic Alloy (Factory New): $4,858.65 (59)
USP-S | Caiman (Factory New): $4,828.04 (86)
M4A1-S | Mecha Industries (Field-Tested): $4,715.04 (176)
USP-S | Royal Blue (Minimal Wear): $4,664.40 (299)
AWP | Fever Dream (Field-Tested): $4,639.26 (501)
M4A1-S | Golden Coil (Well-Worn): $4,626.18 (117)
AWP | Elite Build (Field-Tested): $4,601.61 (299)
AK-47 | Blue Laminate (Minimal Wear): $4,588.89 (453)
AK-47 | Blue Laminate (Factory New): $4,581.82 (386)
MLG Columbus 2016 Legends (Holo-Foil): $4,544.06 (127)
USP-S | Kill Confirmed (Field-Tested): $4,498.28 (107)
Sticker | Vega Squadron | Krakow 2017: $4,480.96 (2,144)
AK-47 | Cartel (Field-Tested): $4,450.30 (466)
MAC-10 | Fade (Factory New): $4,436.88 (139)
AK-47 | Blue Laminate (Field-Tested): $4,310.41 (467)
StatTrak™ M4A1-S | Basilisk (Field-Tested): $4,286.40 (304)
AK-47 | Jaguar (Minimal Wear): $4,253.03 (47)
Sticker | ropz | Krakow 2017: $4,201.47 (133)
P250 | Crimson Kimono (Factory New): $4,106.52 (153)
DreamHack Cluj-Napoca 2015 Challengers (Foil): $4,097.90 (86)
Glock-18 | Water Elemental (Minimal Wear): $3,955.80 (694)
M4A1-S | Decimator (Minimal Wear): $3,950.10 (231)
AK-47 | Red Laminate (Minimal Wear): $3,874.40 (58)
M4A1-S | Dark Water (Minimal Wear): $3,791.62 (49)
Boston 2018 Returning Challengers (Holo-Foil): $3,774.85 (85)
USP-S | Kill Confirmed (Minimal Wear): $3,754.30 (55)
USP-S | Blueprint (Factory New): $3,692.15 (137)
Desert Eagle | Kumicho Dragon (Field-Tested): $3,623.55 (245)
CZ75-Auto | Emerald (Factory New): $3,547.68 (114)
P250 | Whiteout (Minimal Wear): $3,539.34 (106)
MP7 | Full Stop (Minimal Wear): $3,525.83 (77)
Sticker | Team EnVyUs (Holo) | Katowice 2015: $3,492.46 (43)
AK-47 | Wasteland Rebel (Field-Tested): $3,488.40 (136)
Atlanta 2017 Challengers (Holo-Foil): $3,481.76 (47)
AK-47 | Cartel (Minimal Wear): $3,478.88 (272)
M4A1-S | Guardian (Field-Tested): $3,431.00 (188)
M4A4 | Asiimov (Battle-Scarred): $3,388.36 (58)
StatTrak™ M4A1-S | Basilisk (Minimal Wear): $3,386.24 (176)
AK-47 | Orbit Mk01 (Battle-Scarred): $3,378.69 (279)
Sticker | LGB eSports | Katowice 2015: $3,358.49 (37)
AWP | Fever Dream (Minimal Wear): $3,349.50 (330)
AWP | Corticera (Minimal Wear): $3,335.60 (269)
Gift Package: $3,308.88 (811)
StatTrak™ M4A1-S | Atomic Alloy (Minimal Wear): $3,306.00 (40)
Spectrum Case: $3,266.24 (1,384)
StatTrak™ AK-47 | Blue Laminate (Field-Tested): $3,265.11 (139)
Desert Eagle | Cobalt Disruption (Minimal Wear): $3,237.24 (53)
Sticker | Cloud9 | Krakow 2017: $3,234.00 (1,848)
ESL One Cologne 2015 Challengers (Foil): $3,205.30 (95)
Operation Bloodhound Access Pass: $3,198.65 (91)
Tec-9 | Nuclear Threat (Field-Tested): $3,185.94 (87)
P250 | Crimson Kimono (Minimal Wear): $3,179.56 (116)
AWP | Sun in Leo (Well-Worn): $3,146.40 (138)
M4A1-S | Bright Water (Minimal Wear): $3,139.92 (126)
Desert Eagle | Kumicho Dragon (Minimal Wear): $3,137.28 (152)
M4A1-S | Decimator (Factory New): $3,098.16 (72)
AK-47 | Wasteland Rebel (Minimal Wear): $3,086.55 (57)
M4A1-S | Hyper Beast (Well-Worn): $3,050.64 (228)
★ Shadow Daggers | Forest DDPAT (Field-Tested): $2,991.36 (32)
M4A4 | Hellfire (Minimal Wear): $2,955.56 (74)
M4A1-S | Mecha Industries (Minimal Wear): $2,945.21 (53)
M4A1-S | Dark Water (Field-Tested): $2,930.34 (42)
Sticker | NiKo (Foil) | Krakow 2017: $2,921.25 (41)
Galil AR | Cerberus (Minimal Wear): $2,907.20 (80)
AK-47 | Redline (Well-Worn): $2,896.50 (150)
P250 | Whiteout (Field-Tested): $2,879.15 (89)
AK-47 | Frontside Misty (Factory New): $2,877.86 (37)
★ Gut Knife | Rust Coat (Battle-Scarred): $2,870.13 (29)
Five-SeveN | Case Hardened (Field-Tested): $2,851.20 (320)
M4A4 | Hellfire (Factory New): $2,834.07 (51)
AK-47 | Red Laminate (Battle-Scarred): $2,809.76 (68)
AK-47 | Redline (Battle-Scarred): $2,802.78 (207)
Sticker | Titan (Foil) | Cologne 2015: $2,801.69 (29)
AWP | Hyper Beast (Well-Worn): $2,798.68 (148)
AWP | Hyper Beast (Factory New): $2,782.87 (31)
Autograph Capsule | Legends (Foil) | MLG Columbus 2016: $2,780.38 (122)
AWP | Fever Dream (Factory New): $2,765.20 (223)
Sticker | Skadoodle (Foil) | Boston 2018: $2,759.40 (140)
Desert Eagle | Night (Minimal Wear): $2,747.76 (214)
Krakow 2017 Challengers (Holo-Foil): $2,729.14 (122)
AK-47 | Neon Revolution (Field-Tested): $2,726.58 (174)
Sticker | shroud | Krakow 2017: $2,724.15 (381)
Sticker | PENTA Sports | DreamHack 2014: $2,722.18 (131)
M4A4 | Asiimov (Well-Worn): $2,693.32 (28)
MAC-10 | Fade (Minimal Wear): $2,672.16 (57)
AK-47 | Neon Revolution (Minimal Wear): $2,664.92 (68)
Desert Eagle | Midnight Storm (Factory New): $2,648.22 (101)
Glock-18 | Water Elemental (Field-Tested): $2,643.68 (806)
StatTrak™ AK-47 | Blue Laminate (Minimal Wear): $2,598.72 (96)
AK-47 | Jaguar (Well-Worn): $2,584.40 (65)
M4A4 | Hellfire (Field-Tested): $2,579.22 (69)
Tec-9 | Bamboo Forest (Field-Tested): $2,576.52 (842)
Sealed Graffiti | Natus Vincere | Atlanta 2017: $2,568.64 (698)
AWP | Pink DDPAT (Field-Tested): $2,565.00 (114)
Glock-18 | Dragon Tattoo (Factory New): $2,562.15 (29)
StatTrak™ AK-47 | Cartel (Field-Tested): $2,551.70 (85)
Five-SeveN | Hyper Beast (Factory New): $2,528.80 (29)
M4A1-S | Golden Coil (Battle-Scarred): $2,483.36 (83)
AK-47 | Predator (Field-Tested): $2,482.48 (143)
